generation,id,novelty,score,species,parent1,parent2
309,131004,41.58861731942594,0.6629548467889445,11,129948,130541
310,131004,50.89477800699755,0.6629548467889445,11,129948,130541
311,131004,45.60854198877142,0.6629548467889445,11,129948,130541
312,131004,45.80550953949204,0.6629548467889445,11,129948,130541
313,131004,49.047113387987075,0.6629548467889445,11,129948,130541
314,131004,50.08371973294043,0.6629548467889445,11,129948,130541
315,131004,46.17150391852419,0.6629548467889445,11,129948,130541
316,131004,50.180770474870606,0.6629548467889445,11,129948,130541
317,131004,41.88820338483483,0.6629548467889445,11,129948,130541
318,131004,39.091764658898256,0.6629548467889445,11,129948,130541
319,131004,45.10113237702361,0.6629548467889445,11,129948,130541
320,131004,46.153200944906764,0.6629548467889445,11,129948,130541
321,131004,51.0329618005451,0.6629548467889445,11,129948,130541
322,131004,47.48100902200977,0.6629548467889445,11,129948,130541
323,158018,47.82031367548607,0.6497259026599346,11,157528,131004
324,158018,38.47404330464888,0.6497259026599346,11,157528,131004
325,158018,43.92768970193699,0.6497259026599346,11,157528,131004
326,158018,48.43696315151051,0.6497259026599346,11,157528,131004
327,158018,49.48997886063087,0.6497259026599346,11,157528,131004
328,158018,43.12130822738008,0.6497259026599346,11,157528,131004
329,158018,45.47110628818506,0.6497259026599346,11,157528,131004
330,158018,47.358440139963086,0.6497259026599346,11,157528,131004
331,158018,46.04757360865521,0.6497259026599346,11,157528,131004
332,158018,37.98002122230401,0.6497259026599346,11,157528,131004
333,158018,40.85913334965937,0.6497259026599346,11,157528,131004
334,158018,37.71011046846109,0.6497259026599346,11,157528,131004
335,158018,47.756543229794005,0.6497259026599346,11,157528,131004
336,158018,44.214009357449605,0.6497259026599346,11,157528,131004
337,158018,42.05289366884288,0.6497259026599346,11,157528,131004
338,158018,42.048265070561804,0.6497259026599346,11,157528,131004
339,158018,42.43123121577192,0.6497259026599346,11,157528,131004
340,158018,40.06271993551471,0.6497259026599346,11,157528,131004
341,158018,37.649683359330844,0.6497259026599346,11,157528,131004
342,166828,41.17526795919345,0.501677685511481,11,166319,131004
343,166828,41.52717282075998,0.501677685511481,11,166319,131004
344,166828,37.52449894459882,0.501677685511481,11,166319,131004
345,158018,39.62008041139877,0.6497259026599346,11,157528,131004
346,166828,39.48483416311122,0.501677685511481,11,166319,131004
347,166828,39.471510220392965,0.501677685511481,11,166319,131004
348,158018,42.394098291703365,0.6497259026599346,11,157528,131004
349,158018,37.64909399479406,0.6497259026599346,11,157528,131004
350,166828,39.64716437155666,0.501677685511481,11,166319,131004
351,158018,44.42069585388584,0.6497259026599346,11,157528,131004
352,158018,39.818798089487196,0.6497259026599346,11,157528,131004
353,158018,41.15955871075254,0.6497259026599346,11,157528,131004
354,166828,42.107578832266135,0.501677685511481,11,166319,131004
