generation,id,novelty,score,species,parent1,parent2
69,34130,5.6642435531244875,0.7622913560354844,4,33654,29650
70,34464,11.614339019779342,0.7531833901159554,6,33737,33073
71,35033,7.179892965080607,0.7597899609099396,4,34318,34247
72,35340,7.378701114756747,0.7581118613422814,2,34234,34678
73,35717,6.160712171353553,0.7616869354866488,3,35238,35250
74,36281,13.992435273507821,0.762260155759889,6,35798,35805
75,36695,8.66352228434951,0.762493236896193,6,36202,35161
76,37333,6.384477659981324,0.7607590025271567,1,36618,36773
77,37852,6.607421303870324,0.7601893361297649,1,14443,37327
78,38421,13.28669254562246,0.7581227676593615,5,36733,35456
79,38759,7.624460425853823,0.7621516157043358,3,38184,38196
80,39373,10.806228052159879,0.7617826469672085,6,38849,38849
81,39998,10.024376553952369,0.7553868214154423,4,39488,39486
82,40148,9.907049040437439,0.761313775761766,6,39073,39618
83,40881,16.419905442962467,0.7591780690444908,6,40197,36733
84,41369,12.183185008148525,0.7597617394096393,6,40819,40808
85,41839,10.971450076238623,0.7620014639330942,6,41347,36733
86,42135,14.96205505786499,0.760513579686312,2,41730,41732
87,42892,5.966922247259976,0.7609727333868551,4,42463,42423
88,43073,14.782929857466309,0.7623058554063789,3,42667,42618
89,43600,10.938250843633167,0.757089559358461,3,42049,43073
90,44181,5.707749341719068,0.7600168001802399,5,43676,43718
91,44463,6.5841325121680505,0.7624927071905417,2,44044,44044
92,44912,12.73927653675621,0.762311595199519,2,44474,44080
93,45534,9.16914267232225,0.7606603616185957,1,45116,45137
94,45955,10.719765056917982,0.7513950640897507,2,44944,45511
95,46756,7.959633176146355,0.7597829708884521,6,45555,46224
96,46893,13.600430031695597,0.7596681886046427,6,46678,46584
97,47637,7.813800998367112,0.7625879628121593,3,47148,47108
98,48084,9.228678657084437,0.7617393463309285,3,46152,47599
99,48350,6.285214426082721,0.7566300489533683,2,47905,48133
100,48955,9.419669936343565,0.7623404277854764,5,48599,47093
101,49491,12.19579860993703,0.7615553010786152,3,49201,46152
102,50099,13.793368164238533,0.7594340767543667,6,49653,49596
103,50431,12.08928426352686,0.7615578023448967,3,49936,49944
104,50839,7.536245398533834,0.7615471345528668,5,50576,50475
105,51514,11.378102322611038,0.760586053475585,3,51111,51081
106,52004,10.083412522856296,0.7601927599338424,6,50083,51380
107,52427,11.289554749126612,0.7624362610692016,6,51971,51887
108,52973,9.470245776819247,0.7627584145174466,3,49892,51838
109,53502,13.67163601466222,0.7598141256643246,3,52937,52982
110,53861,10.43516339956946,0.7574955179938211,3,53436,53454
111,54391,17.150000892948583,0.7619275861149186,3,53740,53821
112,54909,5.807656496604474,0.7615446696691289,3,54409,54340
113,55686,8.33848639349916,0.7593328814917388,4,55191,55061
114,56160,7.983362395974746,0.7614965711278792,4,55610,55556
115,56391,8.971411772361593,0.7615775469243963,3,55764,55758
116,57155,7.822762158835109,0.7619125778423208,3,56435,56380
117,57257,11.893382065180434,0.7617240632768205,7,56873,56856
118,57862,7.167594678779407,0.75939741105434,8,57386,57333
119,58623,9.848655359250719,0.7617531337772767,7,58131,58113
120,58911,12.185643095620964,0.7601089534200229,8,57424,57424
121,59471,5.439737246719397,0.7627458174127886,8,58911,57983
122,59880,11.113018707726743,0.7602404810253489,8,59376,59349
123,60624,7.265412570247471,0.761484513496945,3,56358,60033
124,61131,9.80689575831339,0.7610335024879268,7,60568,60628
125,61393,9.915232824449873,0.757411572280602,3,61117,61117
126,61838,9.394580713474715,0.7609740453762258,3,61546,60764
127,62268,8.972932371363394,0.7612009684250636,7,60764,61782
128,62807,11.049064350689129,0.7617700698714964,7,60764,62246
129,63588,5.679414029289046,0.7625328424730601,3,56358,63026
130,63979,7.8456014092881965,0.7615013607898976,3,56358,57011
131,64506,12.250094705158544,0.762194136008974,3,64025,64085
132,65044,5.001265262496437,0.7612137869501806,3,64469,64506
133,65168,8.329868343157134,0.7587953333311918,9,64589,64639
